Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Electrical;-74;1.337556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-74;1.337556;2042889539.89097;-65.69556800000001;0.074653;0.027426999999999997;0.039738;0.021374;75.878316;0.0;1087042204.0816321;0.0;0.48635200000000006;0.0008789999999999999;10.950714999999999;-60.724498;52.626479
Tanker SuezMax FS;Electrical;-72;1.440444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-72;1.440444;2488114089.497425;-80.01317;0.090923;0.033405000000000004;0.048399;0.026032;92.415132;0.0;1323950693.877552;0.0;0.5923470000000001;0.00107;13.337299;-73.958712;64.095821
Tanker SuezMax FS;Electrical;-70;1.543333;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-70;1.543333;2933338639.103875;-94.330773;0.10719300000000001;0.039382;0.057059000000000006;0.03069;108.951948;0.0;1560859183.67347;0.0;0.698342;0.0012619999999999999;15.723882999999999;-87.192926;75.565164
Tanker SuezMax FS;Electrical;-68;1.646222;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-68;1.646222;3378563188.710324;-108.648375;0.12346300000000002;0.045360000000000004;0.06572;0.035349;125.48876399999999;0.0;1797767673.469387;0.0;0.804337;0.0014529999999999999;18.110467;-100.42714000000001;87.03450699999999
Tanker SuezMax FS;Electrical;-66;1.749111;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-66;1.749111;3823787738.316775;-122.965977;0.139733;0.051337;0.07438;0.040007;142.02558;0.0;2034676163.2653058;0.0;0.9103319999999999;0.001644;20.497051000000003;-113.661354;98.50385
