Type;Input (delta) [%];Speed [m/second];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];PM (Well to tank) [kg];Energy (Well to tank) [J];NOx (Well to tank) [kg];GWP [kg];NOx [kg];PM [kg];CH4 [kg];SOx [kg];CO2 [kg];Energy [J];NPV [EUR];Fuel Consumption [kg]
Tanker_Handy_Max_Tier_II;-52;2.469;72.309;0.22;0.253;0.024;1286009308.796;0.245;559.844;8.68;0.19699999999999998;0.0;0.34299999999999997;480.441;6395136648.571;-238.528;149.857
Tanker_Handy_Max_Tier_II;-50;2.572;75.8;0.231;0.266;0.025;1348089792.0180001;0.257;586.869;9.184;0.20600000000000002;0.0;0.359;503.63300000000004;6703853833.348001;-250.717;157.091
Tanker_Handy_Max_Tier_II;-48;2.675;79.285;0.242;0.278;0.027000000000000003;1410081630.4520001;0.26899999999999996;613.857;9.689;0.215;0.0;0.376;526.793;7012130200.535999;-262.895;164.315
Tanker_Handy_Max_Tier_II;-46;2.778;82.766;0.252;0.29;0.027999999999999997;1471984824.1;0.281;640.805;10.193;0.22399999999999998;0.0;0.392;549.919;7319965750.134;-275.062;171.528
Tanker_Handy_Max_Tier_II;-44;2.8810000000000002;86.242;0.263;0.302;0.028999999999999998;1533799372.961;0.293;667.715;10.698;0.23399999999999999;0.0;0.409;573.013;7627360482.143001;-287.218;178.731
Tanker_Handy_Max_Tier_II;-42;2.984;89.712;0.273;0.314;0.03;1595525277.036;0.304;694.586;11.202;0.243;0.0;0.425;596.073;7934314396.563001;-299.362;185.924
Tanker_Handy_Max_Tier_II;-40;3.0869999999999997;93.178;0.284;0.326;0.031;1657162536.325;0.316;721.419;11.707;0.252;0.0;0.441;619.1;8240827493.393001;-311.495;193.107
Tanker_Handy_Max_Tier_II;-38;3.19;99.704;0.304;0.349;0.033;1773227915.76;0.33799999999999997;771.946;12.658;0.26899999999999996;0.0;0.47200000000000003;662.461;8818003690.005;-334.358;206.632
Tanker_Handy_Max_Tier_II;-36;3.292;106.213;0.324;0.37200000000000005;0.036000000000000004;1888977666.133;0.36;822.336;13.61;0.28600000000000003;0.0;0.503;705.704;9393610309.343;-357.181;220.12
Tanker_Handy_Max_Tier_II;-34;3.395;112.70299999999999;0.34299999999999997;0.395;0.038;2004411787.4429998;0.382;872.5889999999999;14.562000000000001;0.304;0.0;0.534;748.829;9967647351.405;-379.964;233.571
Tanker_Handy_Max_Tier_II;-32;3.498;119.176;0.363;0.418;0.04;2119530279.691;0.40399999999999997;922.704;15.514000000000001;0.321;0.0;0.565;791.836;10540114816.193;-402.70599999999996;246.986
Tanker_Handy_Max_Tier_II;-30;3.6010000000000004;125.631;0.38299999999999995;0.44;0.042;2234333142.875;0.426;972.681;16.465999999999998;0.33799999999999997;0.0;0.595;834.725;11111012703.705;-425.408;260.36400000000003
Tanker_Handy_Max_Tier_II;-28;3.7039999999999997;132.06799999999998;0.402;0.46299999999999997;0.044000000000000004;2348820376.997;0.44799999999999995;1022.5210000000001;17.417;0.35600000000000004;0.0;0.626;877.497;11680341013.943;-448.069;273.705
Tanker_Handy_Max_Tier_II;-26;3.807;138.488;0.42200000000000004;0.485;0.046;2462991982.056;0.47;1072.224;18.369;0.373;0.0;0.6559999999999999;920.15;12248099746.905;-470.691;287.009
Tanker_Handy_Max_Tier_II;-24;3.91;144.89;0.442;0.508;0.049;2576847958.053;0.49200000000000005;1121.79;19.320999999999998;0.39;0.0;0.6859999999999999;962.686;12814288902.593;-493.27099999999996;300.276
Tanker_Handy_Max_Tier_II;-22;4.013;151.274;0.461;0.53;0.051;2690388304.987;0.513;1171.218;20.273;0.40700000000000003;0.0;0.7170000000000001;1005.1030000000001;13378908481.005;-515.812;313.507
Tanker_Handy_Max_Tier_II;-20;4.1160000000000005;157.64;0.48;0.552;0.053;2803613022.858;0.535;1220.508;21.225;0.425;0.0;0.747;1047.403;13941958482.143;-538.312;326.70099999999996
Tanker_Handy_Max_Tier_II;-18;4.218;167.968;0.512;0.589;0.055999999999999994;2987297409.895;0.57;1300.472;22.774;0.45299999999999996;0.0;0.7959999999999999;1116.026;14855394137.143;-574.862;348.105
Tanker_Handy_Max_Tier_II;-16;4.321000000000001;178.24900000000002;0.5429999999999999;0.625;0.06;3170144987.169;0.605;1380.0720000000001;24.324;0.48100000000000004;0.0;0.8440000000000001;1184.336;15764668459.286001;-611.305;369.412
Tanker_Handy_Max_Tier_II;-14;4.4239999999999995;188.483;0.574;0.66;0.063;3352155754.6790004;0.639;1459.307;25.874000000000002;0.509;0.0;0.893;1252.333;16669781448.571001;-647.64;390.62199999999996
Tanker_Handy_Max_Tier_II;-12;4.527;198.67;0.605;0.696;0.067;3533329712.4240003;0.674;1538.1789999999999;27.424;0.537;0.0;0.941;1320.0179999999998;17570733105.0;-683.8689999999999;411.73400000000004
Tanker_Handy_Max_Tier_II;-10;4.63;208.81;0.636;0.732;0.07;3713666860.405;0.708;1616.6860000000001;28.974;0.565;0.0;0.9890000000000001;1387.39;18467523428.571;-719.9910000000001;432.74800000000005
Tanker_Handy_Max_Tier_II;-8;4.7330000000000005;218.903;0.667;0.767;0.073;3893167198.621;0.743;1694.828;30.524;0.594;0.0;1.037;1454.45;19360152419.286;-756.0060000000001;453.665
Tanker_Handy_Max_Tier_II;-6;4.836;228.949;0.698;0.802;0.077;4071830727.0740004;0.777;1772.606;32.073;0.622;0.0;1.085;1521.1970000000001;20248620077.143;-791.914;474.48400000000004
Tanker_Handy_Max_Tier_II;-4;4.939;238.94799999999998;0.728;0.8370000000000001;0.08;4249657445.762;0.8109999999999999;1850.02;33.623000000000005;0.65;0.0;1.1320000000000001;1587.631;21132926402.143;-827.715;495.20599999999996
Tanker_Handy_Max_Tier_II;-2;5.042;248.899;0.759;0.872;0.083;4426647354.685;0.8440000000000001;1927.07;35.173;0.6779999999999999;0.0;1.179;1653.753;22013071394.286;-863.409;515.831
Tanker_Handy_Max_Tier_II;0;5.144;258.80400000000003;0.789;0.907;0.087;4602800453.845;0.878;2003.756;36.723;0.706;0.0;1.226;1719.5620000000001;22889055053.571;-898.9960000000001;536.357
Tanker_Handy_Max_Tier_II;2;5.247000000000001;274.063;0.835;0.96;0.092;4874184012.245999;0.93;2121.8979999999997;39.125;0.75;0.0;1.298;1820.9479999999999;24238605891.405;-953.944;567.981
Tanker_Handy_Max_Tier_II;4;5.35;289.209;0.8809999999999999;1.013;0.09699999999999999;5143557135.188;0.981;2239.165;41.527;0.7929999999999999;0.0;1.37;1921.5839999999998;25578159127.05;-1008.635;599.371
Tanker_Handy_Max_Tier_II;6;5.452999999999999;304.243;0.927;1.0659999999999998;0.102;5410919822.671;1.032;2355.558;43.928999999999995;0.8370000000000001;0.0;1.4409999999999998;2021.4679999999998;26907714760.505;-1063.069;630.526
Tanker_Handy_Max_Tier_II;8;5.556;319.163;0.973;1.1179999999999999;0.107;5676272074.696;1.083;2471.074;46.332;0.8809999999999999;0.0;1.5119999999999998;2120.601;28227272791.771;-1117.246;661.448
Tanker_Handy_Max_Tier_II;10;5.659;333.97;1.018;1.17;0.11199999999999999;5939613891.2630005;1.133;2585.716;48.733999999999995;0.924;0.0;1.5819999999999999;2218.9829999999997;29536833220.848;-1171.1660000000002;692.1339999999999
Tanker_Handy_Max_Tier_II;12;5.7620000000000005;348.664;1.063;1.222;0.11699999999999999;6200945272.37;1.183;2699.482;51.136;0.968;0.0;1.652;2316.614;30836396047.736;-1224.829;722.587
Tanker_Handy_Max_Tier_II;14;5.865;363.245;1.107;1.273;0.122;6460266218.019;1.232;2812.3740000000003;53.538000000000004;1.011;0.0;1.7209999999999999;2413.493;32125961272.434;-1278.235;752.805
Tanker_Handy_Max_Tier_II;16;5.968;377.713;1.151;1.3230000000000002;0.127;6717576728.21;1.281;2924.39;55.94;1.055;0.0;1.7890000000000001;2509.6220000000003;33405528894.942997;-1331.384;782.789
Tanker_Handy_Max_Tier_II;18;6.07;392.06800000000004;1.195;1.374;0.131;6972876802.941;1.33;3035.531;58.343;1.099;0.0;1.857;2605.0;34675098915.263;-1384.276;812.539
Tanker_Handy_Max_Tier_II;20;6.172999999999999;406.309;1.238;1.4240000000000002;0.136;7226166442.214001;1.3780000000000001;3145.796;60.745;1.1420000000000001;0.0;1.925;2699.6259999999997;35934671333.393;-1436.911;842.054
Tanker_Handy_Max_Tier_II;22;6.276;428.77;1.307;1.5019999999999998;0.14400000000000002;7625630883.898001;1.455;3319.697;64.583;1.212;0.0;2.031;2848.862;37921149715.268;-1520.339;888.6030000000001
Tanker_Handy_Max_Tier_II;24;6.379;450.856;1.374;1.58;0.151;8018420947.165;1.5290000000000001;3490.691;68.421;1.2819999999999998;0.0;2.136;2995.605;39874437387.143;-1602.9129999999998;934.375
Tanker_Handy_Max_Tier_II;26;6.482;472.63599999999997;1.44;1.656;0.158;8405777291.026999;1.6030000000000002;3659.321;72.259;1.351;0.0;2.239;3140.3179999999998;41800703965.268;-1684.793;979.513
Tanker_Handy_Max_Tier_II;28;6.585;494.111;1.506;1.7309999999999999;0.166;8787699915.486;1.676;3825.585;76.097;1.421;0.0;2.3409999999999997;3283.0;43699949449.643;-1765.977;1024.018
Tanker_Handy_Max_Tier_II;30;6.688;515.28;1.57;1.805;0.17300000000000001;9164188820.541;1.7480000000000002;3989.4829999999997;79.935;1.4909999999999999;0.0;2.441;3423.653;45572173840.268;-1846.467;1067.889
Tanker_Handy_Max_Tier_II;32;6.791;536.143;1.6340000000000001;1.8780000000000001;0.18;9535244006.193;1.819;4151.016;83.772;1.56;0.0;2.54;3562.276;47417377137.143;-1926.263;1111.128
